日付,管理番号,店舗,コース区分,人数,金額,状態,理由
2024/01/07,C00088,銀座店,個室コース,3,48000,来店済み,
2024/01/23,C00089,渋谷店,飲み放題,3,18000,来店済み,
2024/01/25,C00090,渋谷店,ランチ,6,18000,来店済み,
2024/01/17,C00091,渋谷店,ディナー,10,110000,来店済み,
2024/01/16,C00092,新宿店,ランチ,7,28000,キャンセル,体調不良
2024/01/15,C00093,新宿店,ディナー,1,9000,来店済み,
2024/01/12,C00094,新宿店,飲み放題,5,15000,来店済み,
2024/01/06,C00095,銀座店,ディナー,1,6000,来店済み,
2024/01/08,C00096,新宿店,飲み放題,2,10000,来店済み,
2024/01/20,C00097,渋谷店,ディナー,8,56000,来店済み,
2024/01/26,C00098,新宿店,個室コース,9,135000,来店済み,
2024/01/17,C00099,銀座店,ディナー,4,24000,来店済み,
2024/01/17,C00100,銀座店,飲み放題,2,6000,キャンセル,その他
2024/01/15,C00101,渋谷店,ディナー,3,30000,来店済み,
2024/01/15,C00102,渋谷店,ディナー,10,120000,キャンセル,その他
2024/01/19,C00103,渋谷店,個室コース,3,48000,来店済み,
2024/01/27,C00104,渋谷店,個室コース,5,95000,キャンセル,天候
2024/01/23,C00105,渋谷店,ディナー,10,60000,キャンセル,天候
2024/01/06,C00106,渋谷店,ランチ,2,6000,キャンセル,忘れ
2024/01/13,C00107,渋谷店,個室コース,6,84000,来店済み,
2024/01/12,C00108,新宿店,ランチ,9,18000,来店済み,
2024/01/24,C00109,渋谷店,ディナー,9,99000,来店済み,
2024/01/24,C00110,渋谷店,ランチ,1,3000,来店済み,
2024/01/08,C00111,銀座店,個室コース,9,126000,来店済み,
2024/01/02,C00112,新宿店,飲み放題,3,15000,キャンセル,急用
2024/01/01,C00113,銀座店,個室コース,10,200000,予約済み,
2024/01/15,C00114,渋谷店,ディナー,2,12000,来店済み,
2024/01/08,C00115,銀座店,ランチ,4,16000,キャンセル,忘れ
2024/01/10,C00116,銀座店,ディナー,1,7000,来店済み,
2024/01/05,C00117,渋谷店,飲み放題,10,50000,来店済み,
2024/01/18,C00118,銀座店,ディナー,7,63000,来店済み,
2024/01/21,C00119,銀座店,ディナー,7,84000,キャンセル,天候
2024/01/14,C00120,銀座店,個室コース,9,117000,来店済み,
2024/01/16,C00121,渋谷店,飲み放題,7,28000,来店済み,
2024/01/02,C00122,渋谷店,ディナー,5,35000,来店済み,
2024/01/13,C00123,銀座店,個室コース,7,112000,来店済み,
2024/01/15,C00124,渋谷店,飲み放題,4,20000,来店済み,
2024/01/02,C00125,新宿店,ランチ,9,36000,来店済み,
2024/01/07,C00126,新宿店,個室コース,10,170000,キャンセル,急用
2024/01/11,C00127,銀座店,ディナー,8,64000,来店済み,
2024/01/04,C00128,新宿店,ランチ,4,8000,予約済み,
2024/01/07,C00129,銀座店,個室コース,4,76000,来店済み,
2024/01/13,C00130,新宿店,ディナー,9,90000,来店済み,
2024/01/16,C00131,新宿店,飲み放題,5,25000,来店済み,
2024/01/12,C00132,新宿店,ランチ,8,24000,予約済み,
2024/01/24,C00133,新宿店,個室コース,1,17000,来店済み,
2024/01/19,C00134,渋谷店,ランチ,5,20000,予約済み,
2024/01/13,C00135,銀座店,個室コース,5,50000,キャンセル,体調不良
2024/01/27,C00136,銀座店,ディナー,8,80000,来店済み,
2024/01/12,C00137,新宿店,個室コース,8,80000,来店済み,
2024/01/21,C00138,渋谷店,ディナー,9,108000,キャンセル,その他
2024/01/14,C00139,渋谷店,ランチ,2,8000,キャンセル,急用
2024/01/15,C00140,渋谷店,ディナー,2,14000,キャンセル,その他
