work_date,staff_id,store_name,role,start_time,end_time,work_hours,hourly_rate,source_file,daily_wage,is_overtime,labor_cost_flag
2024-01-18,ST-004,渋谷店,レジ,16:00,24:00,8.0,1496,shift_styleA_202401.csv,11968.0,0,高コスト
2024-01-03,ST-008,渋谷店,キッチン,15:00,20:54,5.9,1442,shift_styleA_202401.csv,8507.800000000001,0,標準
2024-01-13,ST-002,渋谷店,キッチン,08:00,16:54,8.9,1135,shift_styleA_202401.csv,10101.5,1,高コスト
2024-01-30,ST-015,新宿店,キッチン,16:00,23:00,7.0,1249,shift_styleA_202401.csv,8743.0,0,標準
2024-01-05,ST-007,新宿店,ホール,08:00,14:30,6.5,1277,shift_styleA_202401.csv,8300.5,0,標準
2024-01-02,ST-011,渋谷店,ホール,17:00,22:54,5.9,1470,shift_styleA_202401.csv,8673.0,0,標準
2024-01-28,ST-017,渋谷店,ホール,16:00,19:30,3.5,1095,shift_styleA_202401.csv,3832.5,0,標準
2024-01-03,ST-020,渋谷店,レジ,11:00,16:24,5.4,1482,shift_styleA_202401.csv,8002.8,0,標準
2024-01-29,ST-019,渋谷店,レジ,17:00,20:12,3.2,1041,shift_styleA_202401.csv,3331.2000000000003,0,標準
2024-01-14,ST-019,銀座店,レジ,13:00,21:35,8.6,1104,shift_styleA_202401.csv,9494.4,1,高コスト
2024-01-22,ST-011,渋谷店,キッチン,14:00,17:47,3.8,1330,shift_styleA_202401.csv,5054.0,0,標準
2024-01-10,ST-015,新宿店,ホール,08:00,13:42,5.7,1288,shift_styleA_202401.csv,7341.6,0,標準
2024-01-04,ST-003,銀座店,ホール,16:00,20:35,4.6,1477,shift_styleA_202401.csv,6794.2,0,標準
2024-01-12,ST-003,渋谷店,キッチン,12:00,15:53,3.9,1426,shift_styleA_202401.csv,5561.4,0,標準
2024-01-18,ST-010,銀座店,レジ,16:00,19:00,3.0,1418,shift_styleA_202401.csv,4254.0,0,標準
2024-01-18,ST-010,銀座店,ホール,10:00,14:35,4.6,1455,shift_styleA_202401.csv,6692.999999999999,0,標準
2024-01-04,ST-018,渋谷店,キッチン,12:00,18:35,6.6,1367,shift_styleA_202401.csv,9022.199999999999,0,標準
2024-01-11,ST-007,銀座店,レジ,12:00,18:00,6.0,1128,shift_styleA_202401.csv,6768.0,0,標準
2024-01-29,ST-002,渋谷店,レジ,14:00,22:00,8.0,1022,shift_styleA_202401.csv,8176.0,0,標準
2024-01-01,ST-011,渋谷店,レジ,12:00,16:00,4.0,1226,shift_styleA_202401.csv,4904.0,0,標準
2024-01-18,ST-014,銀座店,ホール,09:00,12:30,3.5,1452,shift_styleA_202401.csv,5082.0,0,標準
2024-01-23,ST-005,銀座店,ホール,13:00,19:30,6.5,1075,shift_styleA_202401.csv,6987.5,0,標準
2024-01-14,ST-005,渋谷店,キッチン,13:00,21:24,8.4,1407,shift_styleA_202401.csv,11818.800000000001,1,高コスト
2024-01-28,ST-002,新宿店,ホール,18:00,22:30,4.5,1052,shift_styleA_202401.csv,4734.0,0,標準
2024-01-12,ST-018,新宿店,レジ,10:00,18:35,8.6,1121,shift_styleA_202401.csv,9640.6,1,高コスト
2024-01-28,ST-006,渋谷店,キッチン,08:00,12:05,4.1,1473,shift_styleA_202401.csv,6039.299999999999,0,標準
2024-01-11,ST-014,銀座店,レジ,11:00,15:35,4.6,1403,shift_styleA_202401.csv,6453.799999999999,0,標準
2024-01-23,ST-004,新宿店,ホール,15:00,19:17,4.3,1418,shift_styleA_202401.csv,6097.4,0,標準
2024-01-30,ST-015,新宿店,キッチン,11:00,15:17,4.3,1337,shift_styleA_202401.csv,5749.099999999999,0,標準
2024-01-07,ST-013,新宿店,キッチン,09:00,17:48,8.8,1142,shift_styleA_202401.csv,10049.6,1,高コスト
2024-01-12,ST-017,新宿店,レジ,16:00,21:00,5.0,1014,shift_styleA_202401.csv,5070.0,0,標準
2024-01-04,ST-009,渋谷店,レジ,12:00,15:12,3.2,1305,shift_styleA_202401.csv,4176.0,0,標準
2024-01-14,ST-012,銀座店,キッチン,14:00,20:35,6.6,1261,shift_styleA_202401.csv,8322.6,0,標準
2024-01-04,ST-013,銀座店,ホール,12:00,15:17,3.3,1223,shift_styleA_202401.csv,4035.8999999999996,0,標準
2024-01-01,ST-017,銀座店,レジ,18:00,22:12,4.2,1220,shift_styleA_202401.csv,5124.0,0,標準
2024-01-03,ST-011,銀座店,キッチン,18:00,26:05,8.1,1368,shift_styleA_202401.csv,11080.8,1,高コスト
2024-01-29,ST-010,銀座店,キッチン,18:00,23:30,5.5,1206,shift_styleA_202401.csv,6633.0,0,標準
2024-01-23,ST-010,銀座店,ホール,11:00,16:30,5.5,1481,shift_styleA_202401.csv,8145.5,0,標準
2024-01-13,ST-006,銀座店,レジ,12:00,17:24,5.4,1426,shift_styleA_202401.csv,7700.400000000001,0,標準
2024-01-01,ST-010,新宿店,ホール,14:00,21:42,7.7,1310,shift_styleA_202401.csv,10087.0,0,高コスト
2024-01-21,ST-011,新宿店,キッチン,15:00,22:05,7.1,1261,shift_styleA_202401.csv,8953.1,0,標準
2024-01-16,ST-006,銀座店,ホール,12:00,18:05,6.1,1324,shift_styleA_202401.csv,8076.4,0,標準
2024-01-20,ST-011,渋谷店,ホール,18:00,22:54,4.9,1412,shift_styleA_202401.csv,6918.8,0,標準
2024-01-07,ST-005,渋谷店,ホール,11:00,19:54,8.9,1312,shift_styleA_202401.csv,11676.800000000001,1,高コスト
2024-01-28,ST-003,新宿店,キッチン,18:00,24:30,6.5,1367,shift_styleA_202401.csv,8885.5,0,標準
2024-01-23,ST-013,新宿店,キッチン,11:00,14:53,3.9,1352,shift_styleA_202401.csv,5272.8,0,標準
2024-01-01,ST-004,新宿店,ホール,10:00,17:47,7.8,1356,shift_styleA_202401.csv,10576.8,0,高コスト
2024-01-17,ST-015,渋谷店,レジ,11:00,19:30,8.5,1062,shift_styleA_202401.csv,9027.0,1,標準
2024-01-15,ST-005,新宿店,レジ,16:00,24:54,8.9,1304,shift_styleA_202401.csv,11605.6,1,高コスト
2024-01-11,ST-015,銀座店,レジ,16:00,21:35,5.6,1464,shift_styleA_202401.csv,8198.4,0,標準
2024-01-18,ST-015,渋谷店,レジ,15:00,20:42,5.7,1384,shift_styleA_202401.csv,7888.8,0,標準
2024-01-08,ST-009,銀座店,キッチン,18:00,22:24,4.4,1225,shift_styleA_202401.csv,5390.0,0,標準
2024-01-03,ST-010,渋谷店,キッチン,13:00,17:54,4.9,1276,shift_styleA_202401.csv,6252.400000000001,0,標準
2024-01-03,ST-005,渋谷店,ホール,14:00,21:12,7.2,1361,shift_styleA_202401.csv,9799.2,0,高コスト
2024-01-07,ST-003,新宿店,キッチン,13:00,19:17,6.3,1212,shift_styleA_202401.csv,7635.599999999999,0,標準
2024-01-02,ST-007,新宿店,キッチン,17:00,25:41,8.7,1010,shift_styleA_202401.csv,8787.0,1,標準
2024-01-28,ST-019,新宿店,キッチン,08:00,16:41,8.7,1152,shift_styleA_202401.csv,10022.4,1,高コスト
2024-01-25,ST-013,新宿店,レジ,16:00,23:47,7.8,1459,shift_styleA_202401.csv,11380.199999999999,0,高コスト
2024-01-08,ST-016,渋谷店,キッチン,14:00,19:54,5.9,1199,shift_styleA_202401.csv,7074.1,0,標準
2024-01-11,ST-013,銀座店,ホール,15:00,23:30,8.5,1318,shift_styleA_202401.csv,11203.0,1,高コスト
2024-01-18,ST-001,新宿店,レジ,17:00,24:00,7.0,1042,shift_styleA_202401.csv,7294.0,0,標準
2024-01-21,ST-014,渋谷店,キッチン,10:00,13:17,3.3,1194,shift_styleA_202401.csv,3940.2,0,標準
2024-01-11,ST-007,新宿店,キッチン,13:00,20:35,7.6,1194,shift_styleA_202401.csv,9074.4,0,標準
2024-01-09,ST-014,新宿店,ホール,15:00,18:06,3.1,1276,shift_styleA_202401.csv,3955.6,0,標準
2024-01-02,ST-012,渋谷店,レジ,09:00,16:42,7.7,1333,shift_styleA_202401.csv,10264.1,0,高コスト
2024-01-02,ST-001,渋谷店,ホール,08:00,14:42,6.7,1122,shift_styleA_202401.csv,7517.400000000001,0,標準
2024-01-05,ST-016,銀座店,ホール,17:00,25:41,8.7,1238,shift_styleA_202401.csv,10770.599999999999,1,高コスト
2024-01-23,ST-009,新宿店,ホール,17:00,23:35,6.6,1382,shift_styleA_202401.csv,9121.199999999999,0,標準
2024-01-23,ST-004,渋谷店,キッチン,09:00,15:30,6.5,1475,shift_styleA_202401.csv,9587.5,0,高コスト
2024-01-10,ST-019,銀座店,キッチン,14:00,22:35,8.6,1101,shift_styleA_202401.csv,9468.6,1,高コスト
2024-01-03,ST-019,銀座店,レジ,11:00,14:36,3.6,1395,shift_styleA_202401.csv,5022.0,0,標準
2024-01-10,ST-020,渋谷店,レジ,08:00,13:05,5.1,1219,shift_styleA_202401.csv,6216.9,0,標準
2024-01-22,ST-012,渋谷店,レジ,18:00,23:00,5.0,1434,shift_styleA_202401.csv,7170.0,0,標準
2024-01-14,ST-016,渋谷店,キッチン,13:00,19:47,6.8,1424,shift_styleA_202401.csv,9683.199999999999,0,高コスト
2024-01-15,ST-005,新宿店,ホール,16:00,24:48,8.8,1138,shift_styleA_202401.csv,10014.400000000001,1,高コスト
2024-01-20,ST-018,新宿店,キッチン,14:00,22:00,8.0,1303,shift_styleA_202401.csv,10424.0,0,高コスト
2024-01-09,ST-011,渋谷店,ホール,12:00,20:18,8.3,1124,shift_styleA_202401.csv,9329.2,1,高コスト
2024-01-25,ST-015,銀座店,レジ,18:00,23:17,5.3,1014,shift_styleA_202401.csv,5374.2,0,標準
2024-01-16,ST-011,渋谷店,キッチン,11:00,16:05,5.1,1132,shift_styleA_202401.csv,5773.2,0,標準
2024-01-11,ST-009,銀座店,レジ,12:00,18:17,6.3,1264,shift_styleA_202401.csv,7963.2,0,標準
2024-01-31,ST-007,渋谷店,ホール,14:00,19:54,5.9,1388,shift_styleA_202401.csv,8189.200000000001,0,標準
2024-01-08,ST-016,銀座店,レジ,15:00,20:42,5.7,1008,shift_styleA_202401.csv,5745.6,0,標準
2024-01-03,ST-010,渋谷店,キッチン,11:00,15:47,4.8,1297,shift_styleA_202401.csv,6225.599999999999,0,標準
2024-01-12,ST-016,銀座店,レジ,13:00,18:35,5.6,1381,shift_styleA_202401.csv,7733.599999999999,0,標準
2024-01-18,ST-011,新宿店,レジ,15:00,19:35,4.6,1128,shift_styleA_202401.csv,5188.799999999999,0,標準
2024-01-08,ST-004,銀座店,ホール,13:00,16:42,3.7,1274,shift_styleA_202401.csv,4713.8,0,標準
2024-01-31,ST-006,渋谷店,ホール,15:00,19:42,4.7,1301,shift_styleA_202401.csv,6114.7,0,標準
2024-01-25,ST-017,銀座店,キッチン,09:00,17:00,8.0,1151,shift_styleA_202401.csv,9208.0,0,標準
2024-01-08,ST-012,渋谷店,キッチン,08:00,15:12,7.2,1064,shift_styleA_202401.csv,7660.8,0,標準
2024-01-09,ST-002,渋谷店,レジ,12:00,19:12,7.2,1064,shift_styleA_202401.csv,7660.8,0,標準
2024-01-21,ST-016,渋谷店,ホール,17:00,21:42,4.7,1245,shift_styleA_202401.csv,5851.5,0,標準
2024-01-15,ST-011,渋谷店,ホール,12:00,20:35,8.6,1244,shift_styleA_202401.csv,10698.4,1,高コスト
2024-01-04,ST-003,新宿店,キッチン,09:00,15:30,6.5,1351,shift_styleA_202401.csv,8781.5,0,標準
2024-01-02,ST-005,渋谷店,レジ,12:00,15:30,3.5,1127,shift_styleA_202401.csv,3944.5,0,標準
2024-01-04,ST-018,新宿店,レジ,17:00,24:42,7.7,1115,shift_styleA_202401.csv,8585.5,0,標準
2024-01-25,ST-017,新宿店,キッチン,15:00,19:47,4.8,1301,shift_styleA_202401.csv,6244.8,0,標準
2024-01-14,ST-010,銀座店,レジ,08:00,14:42,6.7,1378,shift_styleA_202401.csv,9232.6,0,高コスト
2024-01-04,ST-007,銀座店,ホール,12:00,19:00,7.0,1080,shift_styleA_202401.csv,7560.0,0,標準
2024-01-08,ST-006,銀座店,ホール,10:00,13:00,3.0,1230,shift_styleA_202401.csv,3690.0,0,標準
2024-01-23,ST-020,新宿店,キッチン,08:00,12:24,4.4,1361,shift_styleB_202401.csv,5988.400000000001,0,標準
2024-01-10,ST-015,渋谷店,レジ,11:00,19:30,8.5,1403,shift_styleB_202401.csv,11925.5,1,高コスト
2024-01-26,ST-019,銀座店,ホール,14:00,17:42,3.7,1115,shift_styleB_202401.csv,4125.5,0,標準
2024-01-21,ST-005,新宿店,ホール,09:00,12:23,3.4,1405,shift_styleB_202401.csv,4777.0,0,標準
2024-01-10,ST-020,銀座店,レジ,12:00,17:35,5.6,1239,shift_styleB_202401.csv,6938.4,0,標準
2024-01-23,ST-010,銀座店,キッチン,12:00,18:00,6.0,1252,shift_styleB_202401.csv,7512.0,0,標準
2024-01-15,ST-003,銀座店,ホール,14:00,21:24,7.4,1309,shift_styleB_202401.csv,9686.6,0,高コスト
2024-01-09,ST-001,渋谷店,ホール,18:00,26:00,8.0,1294,shift_styleB_202401.csv,10352.0,0,高コスト
2024-01-19,ST-001,銀座店,キッチン,17:00,20:12,3.2,1387,shift_styleB_202401.csv,4438.400000000001,0,標準
2024-01-06,ST-016,銀座店,レジ,15:00,23:30,8.5,1092,shift_styleB_202401.csv,9282.0,1,高コスト
2024-01-19,ST-014,銀座店,キッチン,09:00,14:47,5.8,1209,shift_styleB_202401.csv,7012.2,0,標準
2024-01-11,ST-011,銀座店,ホール,10:00,15:00,5.0,1355,shift_styleB_202401.csv,6775.0,0,標準
2024-01-16,ST-010,銀座店,キッチン,16:00,19:12,3.2,1045,shift_styleB_202401.csv,3344.0,0,標準
2024-01-11,ST-009,新宿店,ホール,14:00,22:11,8.2,1422,shift_styleB_202401.csv,11660.4,1,高コスト
2024-01-01,ST-018,新宿店,キッチン,08:00,12:05,4.1,1185,shift_styleB_202401.csv,4858.5,0,標準
2024-01-20,ST-016,銀座店,キッチン,08:00,12:12,4.2,1281,shift_styleB_202401.csv,5380.2,0,標準
2024-01-05,ST-010,新宿店,レジ,15:00,18:42,3.7,1498,shift_styleB_202401.csv,5542.6,0,標準
2024-01-21,ST-020,渋谷店,レジ,10:00,14:54,4.9,1007,shift_styleB_202401.csv,4934.3,0,標準
2024-01-18,ST-014,渋谷店,ホール,09:00,14:47,5.8,1060,shift_styleB_202401.csv,6148.0,0,標準
2024-01-21,ST-005,新宿店,レジ,12:00,18:05,6.1,1139,shift_styleB_202401.csv,6947.9,0,標準
2024-01-14,ST-016,新宿店,ホール,15:00,21:17,6.3,1196,shift_styleB_202401.csv,7534.8,0,標準
2024-01-07,ST-020,銀座店,レジ,10:00,18:11,8.2,1141,shift_styleB_202401.csv,9356.199999999999,1,高コスト
2024-01-25,ST-014,新宿店,レジ,12:00,19:54,7.9,1144,shift_styleB_202401.csv,9037.6,0,標準
2024-01-24,ST-010,銀座店,レジ,18:00,23:54,5.9,1076,shift_styleB_202401.csv,6348.400000000001,0,標準
2024-01-15,ST-018,新宿店,キッチン,13:00,19:17,6.3,1278,shift_styleB_202401.csv,8051.4,0,標準
2024-01-13,ST-015,新宿店,ホール,11:00,17:24,6.4,1119,shift_styleB_202401.csv,7161.6,0,標準
2024-01-28,ST-014,渋谷店,キッチン,15:00,22:12,7.2,1415,shift_styleB_202401.csv,10188.0,0,高コスト
2024-01-13,ST-013,銀座店,レジ,10:00,16:00,6.0,1018,shift_styleB_202401.csv,6108.0,0,標準
2024-01-05,ST-017,銀座店,キッチン,09:00,17:11,8.2,1225,shift_styleB_202401.csv,10045.0,1,高コスト
2024-01-04,ST-017,新宿店,ホール,10:00,15:30,5.5,1335,shift_styleB_202401.csv,7342.5,0,標準
2024-01-05,ST-003,新宿店,キッチン,13:00,19:42,6.7,1203,shift_styleB_202401.csv,8060.1,0,標準
2024-01-21,ST-003,新宿店,レジ,16:00,21:17,5.3,1162,shift_styleB_202401.csv,6158.599999999999,0,標準
2024-01-21,ST-016,銀座店,ホール,17:00,20:23,3.4,1323,shift_styleB_202401.csv,4498.2,0,標準
2024-01-22,ST-010,渋谷店,レジ,09:00,14:35,5.6,1050,shift_styleB_202401.csv,5880.0,0,標準
2024-01-25,ST-004,新宿店,ホール,12:00,20:24,8.4,1023,shift_styleB_202401.csv,8593.2,1,標準
2024-01-11,ST-002,新宿店,キッチン,13:00,18:35,5.6,1125,shift_styleB_202401.csv,6300.0,0,標準
2024-01-17,ST-014,銀座店,レジ,10:00,14:00,4.0,1040,shift_styleB_202401.csv,4160.0,0,標準
2024-01-20,ST-013,銀座店,レジ,11:00,17:00,6.0,1298,shift_styleB_202401.csv,7788.0,0,標準
2024-01-05,ST-008,新宿店,レジ,12:00,17:47,5.8,1341,shift_styleB_202401.csv,7777.8,0,標準
2024-01-01,ST-015,新宿店,レジ,16:00,19:53,3.9,1226,shift_styleB_202401.csv,4781.4,0,標準
2024-01-31,ST-012,銀座店,キッチン,18:00,26:48,8.8,1353,shift_styleB_202401.csv,11906.400000000001,1,高コスト
2024-01-09,ST-015,新宿店,ホール,14:00,22:05,8.1,1054,shift_styleB_202401.csv,8537.4,1,標準
2024-01-08,ST-013,銀座店,キッチン,17:00,21:47,4.8,1358,shift_styleB_202401.csv,6518.4,0,標準
2024-01-10,ST-001,銀座店,キッチン,12:00,15:00,3.0,1442,shift_styleB_202401.csv,4326.0,0,標準
2024-01-22,ST-002,銀座店,レジ,15:00,23:00,8.0,1462,shift_styleB_202401.csv,11696.0,0,高コスト
2024-01-10,ST-008,銀座店,キッチン,11:00,17:47,6.8,1317,shift_styleB_202401.csv,8955.6,0,標準
2024-01-09,ST-005,銀座店,ホール,18:00,24:54,6.9,1158,shift_styleB_202401.csv,7990.200000000001,0,標準
2024-01-26,ST-015,渋谷店,レジ,13:00,20:24,7.4,1046,shift_styleB_202401.csv,7740.400000000001,0,標準
2024-01-30,ST-010,新宿店,レジ,14:00,18:05,4.1,1067,shift_styleB_202401.csv,4374.7,0,標準
2024-01-26,ST-018,新宿店,レジ,16:00,24:30,8.5,1425,shift_styleB_202401.csv,12112.5,1,高コスト
2024-01-06,ST-009,新宿店,キッチン,13:00,20:47,7.8,1239,shift_styleB_202401.csv,9664.199999999999,0,高コスト
2024-01-31,ST-003,渋谷店,ホール,18:00,25:17,7.3,1203,shift_styleB_202401.csv,8781.9,0,標準
2024-01-31,ST-018,新宿店,ホール,14:00,17:06,3.1,1274,shift_styleB_202401.csv,3949.4,0,標準
2024-01-04,ST-015,新宿店,レジ,18:00,22:35,4.6,1195,shift_styleB_202401.csv,5497.0,0,標準
2024-01-27,ST-012,渋谷店,レジ,11:00,16:47,5.8,1317,shift_styleB_202401.csv,7638.599999999999,0,標準
2024-01-29,ST-018,新宿店,レジ,11:00,17:54,6.9,1325,shift_styleB_202401.csv,9142.5,0,標準
2024-01-27,ST-015,銀座店,キッチン,18:00,23:24,5.4,1071,shift_styleB_202401.csv,5783.400000000001,0,標準
2024-01-02,ST-002,新宿店,キッチン,09:00,12:36,3.6,1454,shift_styleB_202401.csv,5234.400000000001,0,標準
2024-01-18,ST-005,新宿店,キッチン,13:00,20:00,7.0,1380,shift_styleB_202401.csv,9660.0,0,高コスト
2024-01-23,ST-018,新宿店,レジ,10:00,18:18,8.3,1335,shift_styleB_202401.csv,11080.500000000002,1,高コスト
2024-01-04,ST-016,銀座店,キッチン,12:00,15:12,3.2,1189,shift_styleB_202401.csv,3804.8,0,標準
2024-01-07,ST-015,新宿店,ホール,13:00,16:36,3.6,1351,shift_styleB_202401.csv,4863.6,0,標準
2024-01-12,ST-018,銀座店,キッチン,08:00,13:24,5.4,1097,shift_styleB_202401.csv,5923.8,0,標準
2024-01-31,ST-004,新宿店,ホール,18:00,22:17,4.3,1327,shift_styleB_202401.csv,5706.099999999999,0,標準
2024-01-20,ST-001,渋谷店,キッチン,11:00,19:54,8.9,1402,shift_styleB_202401.csv,12477.800000000001,1,高コスト
2024-01-19,ST-007,渋谷店,レジ,11:00,17:30,6.5,1416,shift_styleB_202401.csv,9204.0,0,標準
2024-01-28,ST-008,新宿店,ホール,17:00,20:00,3.0,1439,shift_styleB_202401.csv,4317.0,0,標準
2024-01-05,ST-005,銀座店,キッチン,10:00,13:42,3.7,1443,shift_styleB_202401.csv,5339.1,0,標準
2024-01-01,ST-005,渋谷店,キッチン,11:00,17:30,6.5,1008,shift_styleB_202401.csv,6552.0,0,標準
2024-01-06,ST-009,渋谷店,ホール,14:00,20:12,6.2,1381,shift_styleB_202401.csv,8562.2,0,標準
2024-01-03,ST-016,新宿店,キッチン,16:00,22:35,6.6,1231,shift_styleB_202401.csv,8124.599999999999,0,標準
2024-01-17,ST-008,銀座店,ホール,18:00,24:05,6.1,1234,shift_styleB_202401.csv,7527.4,0,標準
2024-01-21,ST-001,渋谷店,キッチン,14:00,19:35,5.6,1055,shift_styleB_202401.csv,5908.0,0,標準
2024-01-16,ST-015,渋谷店,ホール,13:00,19:35,6.6,1033,shift_styleB_202401.csv,6817.799999999999,0,標準
2024-01-05,ST-009,銀座店,レジ,17:00,23:17,6.3,1166,shift_styleB_202401.csv,7345.8,0,標準
2024-01-13,ST-020,銀座店,キッチン,15:00,21:00,6.0,1220,shift_styleB_202401.csv,7320.0,0,標準
2024-01-04,ST-004,銀座店,レジ,16:00,23:17,7.3,1110,shift_styleB_202401.csv,8103.0,0,標準
2024-01-14,ST-015,渋谷店,キッチン,13:00,21:00,8.0,1204,shift_styleB_202401.csv,9632.0,0,高コスト
2024-01-14,ST-004,新宿店,キッチン,13:00,20:00,7.0,1191,shift_styleB_202401.csv,8337.0,0,標準
2024-01-31,ST-005,銀座店,キッチン,09:00,12:30,3.5,1043,shift_styleB_202401.csv,3650.5,0,標準
2024-01-03,ST-014,渋谷店,レジ,13:00,20:54,7.9,1284,shift_styleB_202401.csv,10143.6,0,高コスト
2024-01-02,ST-019,銀座店,レジ,13:00,20:00,7.0,1210,shift_styleB_202401.csv,8470.0,0,標準
2024-01-12,ST-014,銀座店,ホール,12:00,18:35,6.6,1180,shift_styleB_202401.csv,7788.0,0,標準
2024-01-04,ST-019,銀座店,ホール,10:00,16:54,6.9,1114,shift_styleB_202401.csv,7686.6,0,標準
2024-01-28,ST-004,新宿店,レジ,13:00,16:42,3.7,1142,shift_styleB_202401.csv,4225.400000000001,0,標準
2024-01-19,ST-008,新宿店,レジ,17:00,23:42,6.7,1329,shift_styleB_202401.csv,8904.300000000001,0,標準
2024-01-18,ST-001,銀座店,レジ,12:00,15:12,3.2,1139,shift_styleB_202401.csv,3644.8,0,標準
2024-01-23,ST-010,新宿店,キッチン,08:00,12:05,4.1,1073,shift_styleB_202401.csv,4399.299999999999,0,標準
