receipt_date,case_no,property_name,room_no,claim_type,status,response_days,work_hours,source_file,is_resolved,urgency,cost_estimate
2024-01-19,A-2024010025,シルバーE棟,0404,設備故障,解決済,3,8.0,claims_styleA_202401.csv,1,通常,40000.0
2024-01-02,A-2024010026,ブルーC棟,0204,水漏れ,解決済,22,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-01-24,A-2024010027,シルバーE棟,1008,騒音,解決済,26,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-02-04,A-2024010028,ホワイトD棟,0607,害虫,解決済,15,0.5,claims_styleA_202401.csv,1,遅延,2500.0
2024-03-21,A-2024010029,サンシャインA棟,0107,その他,対応中,48,1.0,claims_styleA_202401.csv,0,遅延,5000.0
2024-01-18,A-2024010030,ホワイトD棟,0307,騒音,解決済,9,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-01-03,A-2024010031,ホワイトD棟,0902,設備故障,対応中,88,6.0,claims_styleA_202401.csv,0,緊急,30000.0
2024-01-25,A-2024010032,グリーンB棟,0307,害虫,未対応,71,2.0,claims_styleA_202401.csv,0,遅延,10000.0
2024-02-06,A-2024010033,ホワイトD棟,0107,水漏れ,未対応,110,5.0,claims_styleA_202401.csv,0,緊急,25000.0
2024-02-24,A-2024010034,シルバーE棟,0803,騒音,解決済,10,2.0,claims_styleA_202401.csv,1,遅延,10000.0
2024-01-18,A-2024010035,サンシャインA棟,0601,設備故障,解決済,19,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-03-17,A-2024010036,グリーンB棟,0102,騒音,未対応,18,7.0,claims_styleA_202401.csv,0,遅延,35000.0
2024-01-08,A-2024010037,ホワイトD棟,0204,駐車,対応中,81,0.5,claims_styleA_202401.csv,0,遅延,2500.0
2024-03-22,A-2024010038,シルバーE棟,1006,水漏れ,解決済,7,8.0,claims_styleA_202401.csv,1,通常,40000.0
2024-03-09,A-2024010039,ホワイトD棟,0305,害虫,解決済,11,1.0,claims_styleA_202401.csv,1,遅延,5000.0
2024-01-19,A-2024010040,サンシャインA棟,0204,駐車,解決済,9,1.5,claims_styleA_202401.csv,1,遅延,7500.0
2024-02-08,A-2024010041,ブルーC棟,0503,害虫,対応中,74,2.5,claims_styleA_202401.csv,0,遅延,12500.0
2024-03-26,A-2024010042,シルバーE棟,0105,その他,未対応,23,1.5,claims_styleA_202401.csv,0,遅延,7500.0
2024-02-04,A-2024010043,シルバーE棟,0305,水漏れ,解決済,20,2.0,claims_styleA_202401.csv,1,遅延,10000.0
2024-03-22,A-2024010044,ブルーC棟,0908,水漏れ,解決済,29,0.5,claims_styleA_202401.csv,1,遅延,2500.0
2024-01-27,A-2024010045,ブルーC棟,0101,水漏れ,解決済,25,1.5,claims_styleA_202401.csv,1,遅延,7500.0
2024-03-06,A-2024010046,ホワイトD棟,0907,駐車,未対応,11,1.0,claims_styleA_202401.csv,0,遅延,5000.0
2024-01-23,A-2024010047,グリーンB棟,0901,水漏れ,未対応,84,6.0,claims_styleA_202401.csv,0,緊急,30000.0
2024-01-02,A-2024010048,ブルーC棟,0601,水漏れ,解決済,7,8.0,claims_styleA_202401.csv,1,通常,40000.0
2024-01-12,A-2024010049,シルバーE棟,0703,騒音,対応中,25,1.5,claims_styleA_202401.csv,0,遅延,7500.0
2024-02-24,A-2024010050,ブルーC棟,0704,水漏れ,解決済,6,1.0,claims_styleA_202401.csv,1,通常,5000.0
2024-02-28,A-2024010051,ホワイトD棟,0404,害虫,対応中,49,2.5,claims_styleA_202401.csv,0,遅延,12500.0
2024-01-22,A-2024010052,グリーンB棟,0706,水漏れ,解決済,28,1.0,claims_styleA_202401.csv,1,遅延,5000.0
2024-02-17,A-2024010053,ホワイトD棟,0906,設備故障,解決済,4,2.5,claims_styleA_202401.csv,1,通常,12500.0
2024-01-09,A-2024010054,サンシャインA棟,0207,水漏れ,解決済,24,3.0,claims_styleA_202401.csv,1,遅延,15000.0
2024-02-17,A-2024010055,サンシャインA棟,0704,水漏れ,解決済,2,4.0,claims_styleA_202401.csv,1,通常,20000.0
2024-01-26,A-2024010056,シルバーE棟,0406,害虫,解決済,3,8.0,claims_styleA_202401.csv,1,通常,40000.0
2024-02-22,A-2024010057,サンシャインA棟,0505,その他,解決済,14,3.0,claims_styleA_202401.csv,1,遅延,15000.0
2024-02-18,A-2024010058,グリーンB棟,0407,その他,対応中,53,8.0,claims_styleA_202401.csv,0,遅延,40000.0
2024-03-20,A-2024010059,シルバーE棟,0507,駐車,未対応,116,0.5,claims_styleA_202401.csv,0,遅延,2500.0
2024-02-14,A-2024010060,シルバーE棟,1006,害虫,解決済,15,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-03-16,A-2024010061,グリーンB棟,0205,駐車,解決済,22,8.0,claims_styleA_202401.csv,1,遅延,40000.0
2024-03-27,A-2024010062,グリーンB棟,0504,騒音,解決済,5,0.5,claims_styleA_202401.csv,1,通常,2500.0
2024-01-16,A-2024010063,シルバーE棟,0208,害虫,解決済,29,8.0,claims_styleA_202401.csv,1,遅延,40000.0
2024-03-23,A-2024010064,ホワイトD棟,0807,騒音,解決済,5,8.0,claims_styleA_202401.csv,1,通常,40000.0
2024-03-25,A-2024010065,サンシャインA棟,0704,騒音,解決済,26,6.0,claims_styleA_202401.csv,1,遅延,30000.0
2024-02-08,A-2024010066,サンシャインA棟,0803,害虫,解決済,22,6.0,claims_styleA_202401.csv,1,遅延,30000.0
2024-03-25,A-2024010067,ホワイトD棟,1007,駐車,解決済,15,1.5,claims_styleA_202401.csv,1,遅延,7500.0
2024-03-15,A-2024010068,ブルーC棟,0405,駐車,対応中,67,8.0,claims_styleA_202401.csv,0,遅延,40000.0
2024-01-03,A-2024010069,ブルーC棟,0405,水漏れ,解決済,11,6.0,claims_styleA_202401.csv,1,遅延,30000.0
2024-01-08,A-2024010070,ホワイトD棟,0304,設備故障,解決済,14,4.0,claims_styleA_202401.csv,1,遅延,20000.0
2024-02-14,A-2024010071,サンシャインA棟,0407,害虫,解決済,29,7.0,claims_styleA_202401.csv,1,遅延,35000.0
2024-03-25,A-2024010072,シルバーE棟,0708,設備故障,解決済,12,2.5,claims_styleA_202401.csv,1,遅延,12500.0
2024-02-27,A-2024010073,ホワイトD棟,0904,害虫,対応中,33,2.5,claims_styleA_202401.csv,0,遅延,12500.0
2024-02-13,A-2024010074,ブルーC棟,0703,害虫,解決済,30,1.5,claims_styleA_202401.csv,1,遅延,7500.0
2024-03-13,A-2024010075,シルバーE棟,1001,設備故障,解決済,21,4.0,claims_styleA_202401.csv,1,遅延,20000.0
2024-01-06,A-2024010076,サンシャインA棟,0507,水漏れ,対応中,32,5.0,claims_styleA_202401.csv,0,緊急,25000.0
2024-02-13,A-2024010077,ブルーC棟,0705,設備故障,解決済,16,0.5,claims_styleA_202401.csv,1,遅延,2500.0
2024-03-12,A-2024010078,グリーンB棟,0201,設備故障,解決済,8,2.0,claims_styleA_202401.csv,1,遅延,10000.0
2024-01-08,A-2024010079,グリーンB棟,0802,駐車,解決済,7,5.0,claims_styleA_202401.csv,1,通常,25000.0
2024-03-12,A-2024010080,グリーンB棟,1002,騒音,解決済,10,1.0,claims_styleA_202401.csv,1,遅延,5000.0
2024-03-10,A-2024010081,シルバーE棟,0707,その他,解決済,7,1.0,claims_styleA_202401.csv,1,通常,5000.0
2024-03-21,A-2024010082,グリーンB棟,0205,その他,対応中,81,1.0,claims_styleA_202401.csv,0,遅延,5000.0
2024-03-12,A-2024010083,シルバーE棟,0706,設備故障,対応中,69,8.0,claims_styleA_202401.csv,0,緊急,40000.0
2024-02-14,A-2024010084,ホワイトD棟,0207,水漏れ,解決済,21,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-03-06,A-2024010085,シルバーE棟,0508,害虫,解決済,14,7.0,claims_styleA_202401.csv,1,遅延,35000.0
2024-02-08,A-2024010086,サンシャインA棟,0508,騒音,解決済,25,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-03-13,A-2024010087,ブルーC棟,0108,水漏れ,解決済,6,5.0,claims_styleA_202401.csv,1,通常,25000.0
2024-01-09,A-2024010088,ブルーC棟,0505,駐車,解決済,1,6.0,claims_styleA_202401.csv,1,通常,30000.0
2024-01-24,A-2024010089,ホワイトD棟,0804,その他,解決済,16,8.0,claims_styleA_202401.csv,1,遅延,40000.0
2024-03-26,A-2024010090,サンシャインA棟,0205,騒音,解決済,13,2.0,claims_styleA_202401.csv,1,遅延,10000.0
2024-02-12,A-2024010091,ホワイトD棟,0906,害虫,対応中,75,3.0,claims_styleA_202401.csv,0,遅延,15000.0
2024-02-09,A-2024010092,ブルーC棟,0504,設備故障,対応中,29,3.0,claims_styleA_202401.csv,0,緊急,15000.0
2024-01-25,A-2024010093,グリーンB棟,0404,その他,対応中,66,2.5,claims_styleA_202401.csv,0,遅延,12500.0
2024-03-25,A-2024010094,シルバーE棟,1005,設備故障,解決済,27,2.0,claims_styleA_202401.csv,1,遅延,10000.0
2024-02-06,A-2024010095,ブルーC棟,0103,水漏れ,解決済,2,0.5,claims_styleA_202401.csv,1,通常,2500.0
2024-03-05,A-2024010096,ホワイトD棟,0201,駐車,解決済,10,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-02-06,A-2024010097,サンシャインA棟,0508,設備故障,解決済,27,1.0,claims_styleA_202401.csv,1,遅延,5000.0
2024-02-19,A-2024010098,サンシャインA棟,0303,駐車,解決済,10,1.0,claims_styleA_202401.csv,1,遅延,5000.0
2024-01-25,A-2024010099,ホワイトD棟,1004,駐車,解決済,13,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-02-19,A-2024010100,ホワイトD棟,0501,駐車,解決済,24,1.0,claims_styleA_202401.csv,1,遅延,5000.0
2024-01-09,A-2024010101,サンシャインA棟,0304,騒音,解決済,18,1.0,claims_styleA_202401.csv,1,遅延,5000.0
2024-01-15,A-2024010102,シルバーE棟,0805,設備故障,解決済,8,2.5,claims_styleA_202401.csv,1,遅延,12500.0
2024-03-28,A-2024010103,ホワイトD棟,0204,水漏れ,解決済,26,8.0,claims_styleA_202401.csv,1,遅延,40000.0
2024-03-07,A-2024010104,ホワイトD棟,0204,その他,対応中,24,2.5,claims_styleA_202401.csv,0,遅延,12500.0
2024-01-06,A-2024010105,ブルーC棟,1005,害虫,解決済,4,5.0,claims_styleA_202401.csv,1,通常,25000.0
2024-03-13,A-2024010106,ブルーC棟,0908,害虫,解決済,3,7.0,claims_styleA_202401.csv,1,通常,35000.0
2024-01-24,A-2024010107,ブルーC棟,1005,設備故障,対応中,16,2.0,claims_styleA_202401.csv,0,緊急,10000.0
2024-03-19,A-2024010108,シルバーE棟,0105,駐車,対応中,10,1.5,claims_styleA_202401.csv,0,遅延,7500.0
2024-02-15,A-2024010109,ブルーC棟,0307,その他,解決済,27,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-01-14,A-2024010110,ブルーC棟,0602,騒音,解決済,11,4.0,claims_styleA_202401.csv,1,遅延,20000.0
2024-03-22,A-2024010111,ホワイトD棟,0901,害虫,解決済,3,3.0,claims_styleA_202401.csv,1,通常,15000.0
2024-02-25,A-2024010112,ホワイトD棟,0901,その他,解決済,28,6.0,claims_styleA_202401.csv,1,遅延,30000.0
2024-02-07,A-2024010113,シルバーE棟,0608,その他,解決済,15,0.5,claims_styleA_202401.csv,1,遅延,2500.0
2024-01-05,A-2024010114,ブルーC棟,0808,設備故障,解決済,1,8.0,claims_styleA_202401.csv,1,通常,40000.0
2024-03-23,A-2024010115,グリーンB棟,0501,駐車,対応中,57,1.0,claims_styleA_202401.csv,0,遅延,5000.0
2024-01-04,A-2024010116,ホワイトD棟,0203,害虫,未対応,101,2.5,claims_styleA_202401.csv,0,遅延,12500.0
2024-03-14,A-2024010117,ホワイトD棟,0804,害虫,対応中,75,1.5,claims_styleA_202401.csv,0,遅延,7500.0
2024-02-20,A-2024010118,シルバーE棟,0302,水漏れ,解決済,25,4.0,claims_styleA_202401.csv,1,遅延,20000.0
2024-02-17,A-2024010119,ブルーC棟,0105,その他,未対応,48,7.0,claims_styleA_202401.csv,0,遅延,35000.0
2024-03-16,A-2024010120,グリーンB棟,0808,水漏れ,未対応,52,6.0,claims_styleA_202401.csv,0,緊急,30000.0
2024-03-11,A-2024010121,グリーンB棟,0407,騒音,解決済,28,4.0,claims_styleA_202401.csv,1,遅延,20000.0
2024-01-16,A-2024010122,ホワイトD棟,0703,害虫,解決済,2,1.5,claims_styleA_202401.csv,1,通常,7500.0
2024-03-11,A-2024010123,サンシャインA棟,0802,駐車,未対応,68,0.5,claims_styleA_202401.csv,0,遅延,2500.0
2024-03-28,A-2024010124,グリーンB棟,0208,水漏れ,解決済,11,7.0,claims_styleA_202401.csv,1,遅延,35000.0
2024-03-03,A-2024010125,ブルーC棟,0907,水漏れ,解決済,21,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-03-03,A-2024010126,グリーンB棟,0504,その他,解決済,3,4.0,claims_styleA_202401.csv,1,通常,20000.0
2024-01-23,A-2024010127,サンシャインA棟,0803,その他,対応中,43,0.5,claims_styleA_202401.csv,0,遅延,2500.0
2024-01-02,A-2024010128,ブルーC棟,0606,害虫,解決済,5,2.0,claims_styleA_202401.csv,1,通常,10000.0
2024-03-22,A-2024010129,グリーンB棟,0303,設備故障,解決済,20,4.0,claims_styleA_202401.csv,1,遅延,20000.0
2024-03-16,A-2024010130,シルバーE棟,0304,害虫,対応中,86,2.5,claims_styleA_202401.csv,0,遅延,12500.0
2024-02-01,A-2024010131,ホワイトD棟,0503,設備故障,解決済,15,3.0,claims_styleA_202401.csv,1,遅延,15000.0
2024-03-14,A-2024010132,ブルーC棟,0805,騒音,解決済,13,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-01-19,A-2024010133,ブルーC棟,1005,その他,解決済,10,0.5,claims_styleA_202401.csv,1,遅延,2500.0
2024-03-01,A-2024010134,シルバーE棟,0108,水漏れ,解決済,25,2.0,claims_styleA_202401.csv,1,遅延,10000.0
2024-03-08,A-2024010135,グリーンB棟,1005,その他,対応中,89,8.0,claims_styleA_202401.csv,0,遅延,40000.0
2024-01-21,A-2024010136,サンシャインA棟,0508,設備故障,解決済,19,3.0,claims_styleA_202401.csv,1,遅延,15000.0
2024-03-10,A-2024010137,ブルーC棟,0703,騒音,解決済,5,6.0,claims_styleA_202401.csv,1,通常,30000.0
2024-02-09,A-2024010138,グリーンB棟,0508,水漏れ,解決済,24,3.0,claims_styleA_202401.csv,1,遅延,15000.0
2024-01-03,A-2024010139,グリーンB棟,0407,駐車,解決済,12,1.0,claims_styleA_202401.csv,1,遅延,5000.0
2024-02-18,A-2024010140,サンシャインA棟,0806,その他,解決済,24,8.0,claims_styleA_202401.csv,1,遅延,40000.0
2024-02-27,B-2024010001,ブルーC棟,0204,害虫,解決済,1,7.0,claims_styleB_202401.csv,1,通常,35000.0
2024-03-20,B-2024010002,グリーンB棟,0208,その他,解決済,10,8.0,claims_styleB_202401.csv,1,遅延,40000.0
2024-02-02,B-2024010003,サンシャインA棟,0508,設備故障,解決済,4,2.0,claims_styleB_202401.csv,1,通常,10000.0
2024-03-15,B-2024010004,ブルーC棟,0907,駐車,解決済,24,1.5,claims_styleB_202401.csv,1,遅延,7500.0
2024-02-27,B-2024010005,ホワイトD棟,1007,水漏れ,対応中,9,3.0,claims_styleB_202401.csv,0,緊急,15000.0
2024-01-08,B-2024010006,ブルーC棟,0206,駐車,解決済,29,8.0,claims_styleB_202401.csv,1,遅延,40000.0
2024-02-09,B-2024010007,グリーンB棟,0208,設備故障,解決済,22,2.0,claims_styleB_202401.csv,1,遅延,10000.0
2024-03-01,B-2024010008,サンシャインA棟,0604,騒音,解決済,26,7.0,claims_styleB_202401.csv,1,遅延,35000.0
2024-01-25,B-2024010009,シルバーE棟,0404,騒音,解決済,11,1.5,claims_styleB_202401.csv,1,遅延,7500.0
2024-03-28,B-2024010010,グリーンB棟,0305,騒音,解決済,4,8.0,claims_styleB_202401.csv,1,通常,40000.0
2024-01-12,B-2024010011,グリーンB棟,1006,設備故障,解決済,6,2.5,claims_styleB_202401.csv,1,通常,12500.0
2024-01-14,B-2024010012,シルバーE棟,0202,害虫,解決済,15,3.0,claims_styleB_202401.csv,1,遅延,15000.0
2024-03-15,B-2024010013,シルバーE棟,0401,その他,解決済,26,8.0,claims_styleB_202401.csv,1,遅延,40000.0
2024-03-21,B-2024010014,サンシャインA棟,0108,害虫,解決済,14,8.0,claims_styleB_202401.csv,1,遅延,40000.0
2024-01-15,B-2024010015,サンシャインA棟,0206,駐車,解決済,5,1.0,claims_styleB_202401.csv,1,通常,5000.0
2024-01-21,B-2024010016,シルバーE棟,0906,害虫,解決済,20,6.0,claims_styleB_202401.csv,1,遅延,30000.0
2024-02-20,B-2024010017,ホワイトD棟,0202,その他,解決済,21,6.0,claims_styleB_202401.csv,1,遅延,30000.0
2024-03-14,B-2024010018,ホワイトD棟,0407,水漏れ,対応中,63,4.0,claims_styleB_202401.csv,0,緊急,20000.0
2024-02-11,B-2024010019,ホワイトD棟,0605,水漏れ,対応中,24,8.0,claims_styleB_202401.csv,0,緊急,40000.0
2024-02-27,B-2024010020,サンシャインA棟,0207,設備故障,解決済,24,3.0,claims_styleB_202401.csv,1,遅延,15000.0
2024-01-19,B-2024010021,シルバーE棟,0906,その他,解決済,4,4.0,claims_styleB_202401.csv,1,通常,20000.0
2024-02-25,B-2024010022,ホワイトD棟,0105,駐車,対応中,44,3.0,claims_styleB_202401.csv,0,遅延,15000.0
2024-01-07,B-2024010023,グリーンB棟,0804,設備故障,解決済,12,6.0,claims_styleB_202401.csv,1,遅延,30000.0
2024-02-09,B-2024010024,シルバーE棟,0407,駐車,解決済,25,7.0,claims_styleB_202401.csv,1,遅延,35000.0
2024-03-18,B-2024010025,サンシャインA棟,1005,設備故障,対応中,28,2.5,claims_styleB_202401.csv,0,緊急,12500.0
2024-03-11,B-2024010026,ブルーC棟,0103,騒音,対応中,77,8.0,claims_styleB_202401.csv,0,遅延,40000.0
2024-02-24,B-2024010027,サンシャインA棟,0204,害虫,解決済,14,5.0,claims_styleB_202401.csv,1,遅延,25000.0
2024-02-10,B-2024010028,ブルーC棟,1002,設備故障,解決済,5,1.5,claims_styleB_202401.csv,1,通常,7500.0
2024-03-03,B-2024010029,ブルーC棟,0807,害虫,解決済,20,5.0,claims_styleB_202401.csv,1,遅延,25000.0
2024-02-25,B-2024010030,シルバーE棟,0206,害虫,解決済,4,2.5,claims_styleB_202401.csv,1,通常,12500.0
2024-03-16,B-2024010031,シルバーE棟,0501,騒音,対応中,55,7.0,claims_styleB_202401.csv,0,遅延,35000.0
2024-01-10,B-2024010032,グリーンB棟,0305,水漏れ,解決済,11,1.0,claims_styleB_202401.csv,1,遅延,5000.0
2024-01-14,B-2024010033,グリーンB棟,0307,駐車,解決済,23,2.0,claims_styleB_202401.csv,1,遅延,10000.0
2024-03-22,B-2024010034,ブルーC棟,0207,その他,解決済,2,4.0,claims_styleB_202401.csv,1,通常,20000.0
2024-01-03,B-2024010035,ブルーC棟,1007,駐車,解決済,13,8.0,claims_styleB_202401.csv,1,遅延,40000.0
2024-02-13,B-2024010036,サンシャインA棟,0603,駐車,解決済,15,3.0,claims_styleB_202401.csv,1,遅延,15000.0
2024-01-04,B-2024010037,グリーンB棟,0707,駐車,解決済,3,4.0,claims_styleB_202401.csv,1,通常,20000.0
2024-02-08,B-2024010038,ブルーC棟,0302,駐車,対応中,86,1.0,claims_styleB_202401.csv,0,遅延,5000.0
2024-03-25,B-2024010039,ブルーC棟,0603,騒音,解決済,4,1.5,claims_styleB_202401.csv,1,通常,7500.0
2024-02-20,B-2024010040,グリーンB棟,0203,その他,解決済,16,5.0,claims_styleB_202401.csv,1,遅延,25000.0
2024-03-15,B-2024010041,シルバーE棟,1006,その他,対応中,45,1.5,claims_styleB_202401.csv,0,遅延,7500.0
2024-02-15,B-2024010042,ブルーC棟,0501,水漏れ,解決済,17,1.0,claims_styleB_202401.csv,1,遅延,5000.0
2024-02-02,B-2024010043,サンシャインA棟,0605,設備故障,解決済,21,1.0,claims_styleB_202401.csv,1,遅延,5000.0
2024-03-13,B-2024010044,ホワイトD棟,1001,害虫,解決済,30,7.0,claims_styleB_202401.csv,1,遅延,35000.0
2024-03-20,B-2024010045,ホワイトD棟,0903,設備故障,解決済,15,1.0,claims_styleB_202401.csv,1,遅延,5000.0
2024-02-03,B-2024010046,シルバーE棟,0301,騒音,未対応,100,5.0,claims_styleB_202401.csv,0,遅延,25000.0
2024-02-20,B-2024010047,グリーンB棟,0606,水漏れ,解決済,13,4.0,claims_styleB_202401.csv,1,遅延,20000.0
2024-02-02,B-2024010048,ブルーC棟,0206,設備故障,対応中,76,8.0,claims_styleB_202401.csv,0,緊急,40000.0
2024-02-24,B-2024010049,シルバーE棟,0306,設備故障,解決済,19,8.0,claims_styleB_202401.csv,1,遅延,40000.0
2024-01-10,B-2024010050,ホワイトD棟,0302,水漏れ,未対応,81,4.0,claims_styleB_202401.csv,0,緊急,20000.0
2024-03-27,B-2024010051,グリーンB棟,0902,その他,対応中,90,4.0,claims_styleB_202401.csv,0,遅延,20000.0
2024-03-12,B-2024010052,ブルーC棟,0304,水漏れ,解決済,25,5.0,claims_styleB_202401.csv,1,遅延,25000.0
2024-01-05,B-2024010053,グリーンB棟,0205,設備故障,解決済,17,6.0,claims_styleB_202401.csv,1,遅延,30000.0
2024-03-02,B-2024010054,ブルーC棟,1003,駐車,対応中,53,1.5,claims_styleB_202401.csv,0,遅延,7500.0
2024-01-23,B-2024010055,シルバーE棟,0308,設備故障,解決済,14,3.0,claims_styleB_202401.csv,1,遅延,15000.0
2024-03-15,B-2024010056,シルバーE棟,0508,騒音,対応中,73,2.0,claims_styleB_202401.csv,0,遅延,10000.0
2024-02-26,B-2024010057,ホワイトD棟,0406,その他,未対応,83,5.0,claims_styleB_202401.csv,0,遅延,25000.0
2024-02-25,B-2024010058,ホワイトD棟,0907,騒音,対応中,30,7.0,claims_styleB_202401.csv,0,遅延,35000.0
2024-01-02,B-2024010059,ホワイトD棟,0602,その他,対応中,71,1.0,claims_styleB_202401.csv,0,遅延,5000.0
2024-02-06,B-2024010060,ブルーC棟,0803,害虫,解決済,3,2.0,claims_styleB_202401.csv,1,通常,10000.0
2024-02-01,B-2024010061,ホワイトD棟,0107,駐車,対応中,52,2.0,claims_styleB_202401.csv,0,遅延,10000.0
2024-02-12,B-2024010062,グリーンB棟,0106,設備故障,未対応,117,8.0,claims_styleB_202401.csv,0,緊急,40000.0
2024-02-05,B-2024010063,サンシャインA棟,0508,その他,対応中,22,5.0,claims_styleB_202401.csv,0,遅延,25000.0
2024-02-03,B-2024010064,サンシャインA棟,0504,騒音,解決済,18,7.0,claims_styleB_202401.csv,1,遅延,35000.0
2024-03-25,B-2024010065,ブルーC棟,0405,設備故障,解決済,2,2.0,claims_styleB_202401.csv,1,通常,10000.0
2024-02-20,B-2024010066,ホワイトD棟,0202,害虫,解決済,20,6.0,claims_styleB_202401.csv,1,遅延,30000.0
2024-01-19,B-2024010067,グリーンB棟,0305,害虫,解決済,1,7.0,claims_styleB_202401.csv,1,通常,35000.0
2024-02-14,B-2024010068,グリーンB棟,0206,設備故障,解決済,17,6.0,claims_styleB_202401.csv,1,遅延,30000.0
2024-03-17,B-2024010069,シルバーE棟,0107,害虫,対応中,10,8.0,claims_styleB_202401.csv,0,遅延,40000.0
2024-02-09,B-2024010070,サンシャインA棟,0602,水漏れ,未対応,40,8.0,claims_styleB_202401.csv,0,緊急,40000.0
2024-03-19,B-2024010071,ブルーC棟,0301,水漏れ,解決済,18,3.0,claims_styleB_202401.csv,1,遅延,15000.0
2024-03-25,B-2024010072,ホワイトD棟,0803,騒音,解決済,3,5.0,claims_styleB_202401.csv,1,通常,25000.0
2024-01-02,B-2024010073,グリーンB棟,0106,水漏れ,解決済,17,4.0,claims_styleB_202401.csv,1,遅延,20000.0
2024-03-02,B-2024010074,グリーンB棟,0506,設備故障,解決済,28,8.0,claims_styleB_202401.csv,1,遅延,40000.0
2024-02-26,B-2024010075,ブルーC棟,0707,その他,解決済,15,4.0,claims_styleB_202401.csv,1,遅延,20000.0
2024-02-16,B-2024010076,ホワイトD棟,0605,設備故障,未対応,103,4.0,claims_styleB_202401.csv,0,緊急,20000.0
2024-01-27,B-2024010077,グリーンB棟,0905,水漏れ,解決済,4,1.0,claims_styleB_202401.csv,1,通常,5000.0
2024-02-10,B-2024010078,ホワイトD棟,1007,騒音,対応中,61,3.0,claims_styleB_202401.csv,0,遅延,15000.0
